date,fund,ticker,weight
2021-03-05,Combined Max-Sharpe,CAT,0.06224262666963405
2021-04-06,Combined Max-Sharpe,CAT,0.1
2021-05-05,Combined Max-Sharpe,CAT,0.1
2021-06-04,Combined Max-Sharpe,CAT,0.09999999999999964
2021-07-06,Combined Max-Sharpe,CAT,0.04050445475540713
2022-05-04,Combined Max-Sharpe,CAT,0.0001289474735899939
2021-06-04,Combined Max-Sharpe,CCI,0.02292118549116867
2021-07-06,Combined Max-Sharpe,CCI,0.04488270596071428
2021-08-04,Combined Max-Sharpe,CCI,0.019240471770346296
2021-09-02,Combined Max-Sharpe,CCI,0.03386213038046647
2022-03-04,Combined Max-Sharpe,COP,0.03359397948312428
2022-06-03,Combined Max-Sharpe,COP,0.0019463256777481448
2022-09-02,Combined Max-Sharpe,COP,0.006689665255517031
2022-10-04,Combined Max-Sharpe,COP,0.061689747454719335
2022-11-02,Combined Max-Sharpe,COP,0.09505880282031635
2022-12-02,Combined Max-Sharpe,COP,0.05603963477730774
2023-01-04,Combined Max-Sharpe,COP,0.05840244420030555
2023-02-03,Combined Max-Sharpe,COP,0.028757125217573325
2023-07-07,Combined Max-Sharpe,COP,0.0019410327521027849
2023-08-07,Combined Max-Sharpe,COP,0.020035270710173494
2023-09-06,Combined Max-Sharpe,COP,0.04013972595276039
2023-10-05,Combined Max-Sharpe,COP,0.0046771435739300935
2023-11-03,Combined Max-Sharpe,COP,0.08670999232793522
2023-12-05,Combined Max-Sharpe,COP,0.05527382339297917
2022-04-04,Combined Max-Sharpe,CVX,0.0874546110418509
2022-05-04,Combined Max-Sharpe,CVX,0.027938740973333306
2022-06-03,Combined Max-Sharpe,CVX,0.026597468256889096
2022-02-02,Combined Max-Sharpe,DUK,0.08692127428368505
2022-03-04,Combined Max-Sharpe,DUK,0.02852286190590523
2022-04-04,Combined Max-Sharpe,DUK,0.0905805978155242
2022-05-04,Combined Max-Sharpe,DUK,0.09999999999999998
2022-06-03,Combined Max-Sharpe,DUK,0.09999999999999981
2022-07-06,Combined Max-Sharpe,DUK,0.1
2022-08-04,Combined Max-Sharpe,DUK,0.1
2022-09-02,Combined Max-Sharpe,DUK,0.1
2023-01-04,Combined Max-Sharpe,DUK,0.02411343191970427
2021-01-04,Combined Max-Sharpe,EA,0.01839351494020191
2021-02-03,Combined Max-Sharpe,EA,0.1
2021-03-05,Combined Max-Sharpe,EA,0.04337227244591062
2021-04-06,Combined Max-Sharpe,EA,0.025906859940897125
2021-10-04,Combined Max-Sharpe,EA,0.03565965589145276
2021-11-02,Combined Max-Sharpe,EA,0.009277193565281863
2022-02-02,Combined Max-Sharpe,EA,0.02383245223572521
2022-03-04,Combined Max-Sharpe,EA,0.01343294350396657
2022-06-03,Combined Max-Sharpe,EA,0.07167674109689279
2022-07-06,Combined Max-Sharpe,EA,0.004359604014141577
2022-08-04,Combined Max-Sharpe,EA,0.007131415501553138
2022-09-02,Combined Max-Sharpe,EA,0.019366676420207833
2021-05-05,Combined Max-Sharpe,ETC-USD,0.04710406604219333
2021-07-06,Combined Max-Sharpe,ETC-USD,0.0005173264774056572
2022-04-04,Combined Max-Sharpe,ETC-USD,0.0024654007883678332
2022-08-04,Combined Max-Sharpe,ETC-USD,0.017546105203750644
2022-09-02,Combined Max-Sharpe,ETC-USD,0.023979781532227084
2022-10-04,Combined Max-Sharpe,ETC-USD,0.02224959358256276
2022-11-02,Combined Max-Sharpe,ETC-USD,0.010706787864708942
2022-12-02,Combined Max-Sharpe,ETC-USD,0.028283927845389596
2023-01-04,Combined Max-Sharpe,ETC-USD,0.018949438961193422
2023-02-03,Combined Max-Sharpe,ETC-USD,0.0051596734163399756
2021-01-04,Combined Max-Sharpe,ETH-USD,0.1
2021-02-03,Combined Max-Sharpe,ETH-USD,0.1
2021-03-05,Combined Max-Sharpe,ETH-USD,0.08261308092077466
2021-04-06,Combined Max-Sharpe,ETH-USD,0.055014580958598285
2021-05-05,Combined Max-Sharpe,ETH-USD,0.09999999999999991
2021-06-04,Combined Max-Sharpe,ETH-USD,0.039779986462338435
2021-07-06,Combined Max-Sharpe,ETH-USD,0.00333703714990107
2021-09-02,Combined Max-Sharpe,ETH-USD,0.017681744342005517
2021-12-02,Combined Max-Sharpe,ETH-USD,0.031804738044973066
2022-01-03,Combined Max-Sharpe,ETH-USD,0.03139445905626104
2022-02-02,Combined Max-Sharpe,ETH-USD,0.003554888892676311
2022-05-04,Combined Max-Sharpe,ETH-USD,0.04389906196662897
2022-06-03,Combined Max-Sharpe,ETH-USD,0.02483162492923892
2022-08-04,Combined Max-Sharpe,ETH-USD,0.002832677665451565
2022-09-02,Combined Max-Sharpe,ETH-USD,0.0161450707817382
2022-11-02,Combined Max-Sharpe,ETH-USD,0.024111533917116776
2023-01-04,Combined Max-Sharpe,ETH-USD,0.016722335030270475
2023-02-03,Combined Max-Sharpe,ETH-USD,0.04340695503464296
2023-03-07,Combined Max-Sharpe,ETH-USD,0.04241721710277141
2023-04-05,Combined Max-Sharpe,ETH-USD,0.060809900609709706
2023-05-05,Combined Max-Sharpe,ETH-USD,0.07217043414312244
2023-06-06,Combined Max-Sharpe,ETH-USD,0.060414540344636024
2023-07-07,Combined Max-Sharpe,ETH-USD,0.05690039735360576
2023-08-07,Combined Max-Sharpe,ETH-USD,0.07411255020601214
2023-09-06,Combined Max-Sharpe,ETH-USD,0.06851308677401959
2023-10-05,Combined Max-Sharpe,ETH-USD,0.08520569692921966
2023-11-03,Combined Max-Sharpe,ETH-USD,0.06881361102752179
2023-12-05,Combined Max-Sharpe,ETH-USD,0.07472858082856135
2021-09-02,Combined Max-Sharpe,GILD,0.01064199681906565
2021-10-04,Combined Max-Sharpe,GILD,0.029840485935994813
2022-11-02,Combined Max-Sharpe,GILD,0.03266316501465093
2022-12-02,Combined Max-Sharpe,GILD,0.1
2023-01-04,Combined Max-Sharpe,GILD,0.1
2023-02-03,Combined Max-Sharpe,GILD,0.0846499003024891
2023-03-07,Combined Max-Sharpe,GILD,0.0753432865661079
2023-04-05,Combined Max-Sharpe,GILD,0.09408489033790729
2023-05-05,Combined Max-Sharpe,GILD,0.050131161761897754
2023-06-06,Combined Max-Sharpe,GILD,0.05722204434691021
2023-07-07,Combined Max-Sharpe,GILD,0.024913675423667965
2023-08-07,Combined Max-Sharpe,GILD,0.05500219082886643
2023-11-03,Combined Max-Sharpe,GILD,0.03404794180520368
2021-10-04,Combined Max-Sharpe,GS,0.02657670239996482
2021-11-02,Combined Max-Sharpe,GS,0.00984555755240847
2021-05-05,Combined Max-Sharpe,MMM,0.0010781194624294946
2022-11-02,Combined Max-Sharpe,MRK,0.07674902085397668
2022-12-02,Combined Max-Sharpe,MRK,0.1
2023-01-04,Combined Max-Sharpe,MRK,0.1
2023-02-03,Combined Max-Sharpe,MRK,0.09999999999999998
2023-03-07,Combined Max-Sharpe,MRK,0.1
2023-04-05,Combined Max-Sharpe,MRK,0.09999999999999978
2023-05-05,Combined Max-Sharpe,MRK,0.09999999999999996
2023-06-06,Combined Max-Sharpe,MRK,0.1
2023-07-07,Combined Max-Sharpe,MRK,0.09999999999999976
2023-08-07,Combined Max-Sharpe,MRK,0.1
2023-09-06,Combined Max-Sharpe,MRK,0.09999999999999985
2023-10-05,Combined Max-Sharpe,MRK,0.1
2023-11-03,Combined Max-Sharpe,MRK,0.1
2023-12-05,Combined Max-Sharpe,MRK,0.0999999999999999
2021-03-05,Combined Max-Sharpe,MS,0.06454662438060521
2021-04-06,Combined Max-Sharpe,MS,0.019363658816291318
2021-05-05,Combined Max-Sharpe,MS,0.06411352905568415
